content,score
giao hàng mẹ gì gọi thì k nhấc máy r tự_ý_hủy đơn hàng thề chứ phục_vụ như cl đặt_hàng thanh_toán xong hết mà còn gặp tình_trạng thế bực cả mình,1
ứng_dụng tệ nhất thế_giới làm_ăn toàn lừa nhau từ nhà bán hàng cho đến chủ kênh,1
đề_nghị lazada thêm tính_năng_hủy đơn hàng khẩn_cấp trên app trong tình_trạng đơn hàng trên đường vận_chuyển lý_do thời_gian giao hàng sai với thông_tin đặt_hàng ban_đầu đơn hàng giao nhanh 24h tới ngày nhận mà không giao mà_lại hẹn sau 3 ngày mới giao thực_tế quá vô_lý,1
lazada chơi mất_dạy đơn đặt nhiệm_vụ lazreward chờ giao hàng qua ngày_mai mất tính_năng không thấy luôn coi như là mua mà không có lazreward để nhận treo đầu dê bán thịt chó à chơi thế ai chơi lại,1
làm event đặt 5 món trên 30k nhậ 80 laz reward mà hàng về hết lain xóa_event đi rồi bảo k có ảnh k xử_lý app k xứng được 1s nữa phải âm sao,1
trò_chơi ko công_bằng trên luật thì để một đằng lúc tham_gia thành_công lại cộng 1 nẻo,1
lazada nên cho thanh_toán bằng mã qr smartbanking ngân_hàng khi hoàn tiền thì hoàn vào tài_khoản ngân_hàng trước đó đăng_ký chứ các hình_thức thanh_toán online khác rất rắc_rối và kém bảo_mật khi mua hàng trên lazada mình thử thanh_toán bằng zalo bay thì mình bị trừ tiền ngay trong tài_khoản ngân_hàng mà không có một thông_báo nào từ smartbanking là có cho thanh_toán hay không,1
ứng_dụng tệ nhấtthế giới mà tôi từng xàisau này đề_nghị lazadađiều chỉnh lạinhất là ở phần đăng_nhập,1
lừa_đảo áp_bức nha mọi người giao hàng thiếu mua 2 giao 1 kiểm_tra thấy thiếu vẫn bắt nhận liền hệ tổng_đài thì ko giải_quyết nói vòng vô cho mình tốn tiền điện_thoại mọi người ko nên tải áp này tiền mất còn bị tức,1
ko hiểu lazada làm_ăn ra sao mau bộ nỉ 3 mà đổi trả 3 lần vãn chưa được đặt một đằng giao một nẻo mà giao sai 3 lần liền mới chịu,1
bị cv02 miết nhắn_tin bên cskh thì không giải_quyết vấn_đề tích xu cho lắm xong không cho đặt,1
không khác phục lỗi cvo2 cho người dùng tạo tài_khoản mới cũng không cho tạo kém chất_lượng app dùng không hiệu_quả yêu_cầu lazada sửa lỗi cvo2,1
đặt mỗi cái áo mà gần 2 tuần vẫn chưa có hàng giao hàng chậm,1
quá tệ đặt_hàng ko đc cứ cv02 miết à còn nhắn_tin để mở thì phải xác_thực đủ kiểu vẫn ko đc,1
quá tệ ưu_đãi không đủ tốt so với nền_tảng khác và thời_gian giao hàng quá lâu,1
tính_năng tự tìm_kiếm sản_phẩm tương_tự khá khó_chịu cho người dùng,1
ko sử_dụng voucher đc kêu freeship mà bấm vô tiền síp đắt như cái j á,1
s tui đăng_nhập ko đc nhỉ cứ để dịch_vụ đang bận,1
ko tin là lazada để mấy người bán hàng giả làm_việc lun á,1
sđt mới mua tạo tk nhưng có ng khác sài rồi là sao,1
shipper giao hàng tệ tự_ý hủy_đơn của khách,1
sửa cái địa_chỉ giao hàng thôi mà cũng ko sửa được chan,1
phí vận_chuyển mắc vl tải shopee mua đồ tốt hơn,1
không cho đặt_hàng gửi báo lỗi mà ghi được gmail ko gửi được ảnh,1
không có voucher bạn mới như quảng_cáo giới_thiệu,1
vừa dùng đã bị lỗi k thể đặt_hàng,1
mua bắt trả bằng thẻ ko cho trả tiền_mặt nản,1
phí ship giờ đẩy lên cao quá vậy 1 sao,1
